Prompt Cards,Set
_____. A woman's best friend.,Cows Grilling Hamburgers - Patty Pack #1
_____. The breakfast of champions.,"Guards Against Insanity, Edition 1"
_____. The happiest place on earth.,"Guards Against Insanity, Edition 1"
_____. The reason I cry myself to sleep at night.,Cows Against Hamburgers - Patty Pack #1
_____. The reason I cry myself to sleep at night.,Cows Grilling Hamburgers - Patty Pack #1
_____. The taste of paradise.,"Guards Against Insanity, Edition 1"
_____. You complete me.,Cows Against Hamburgers - Patty Pack #1
_____. You complete me.,Cows Grilling Hamburgers - Patty Pack #1
"____, best describes me.",Dirty Nasty Filthy
____: How far I'll go for free food.,Dirty Nasty Filthy
____: How I plan to spend my nights when I'm rich.,Dirty Nasty Filthy
"____: the part of your body, you like touched first.",Dirty Nasty Filthy
____: The reason that girl was a real crowd pleaser.,Dirty Nasty Filthy
____. Coming soon to a cinema near you,Pigs Against Profanity: Volume 1
____. Sounded like a good idea at the time,Pigs Against Profanity: Volume 1
____. The easiest way into a girl's pants,Pigs Against Profanity: Volume 1
____. The only thing scarring people more than London acid attacks,Pigs Against Profanity: Volume 1
___: good to the last drop.,Cards Against/For South Africa
___: good to the last drop.,Hilarious!
"___: Kid-tested, mother approved.",Cards Against/For South Africa
___? There's an app for that.,Cards Against/For South Africa
"___. Awesome, bro!",Hilarious!
___. Bet you can't have just one!,Cards Against/For South Africa
"___. High five, bro.",Cards Against/For South Africa
___. It's a trap!,Cards Against/For South Africa
___. That's how I want to die.,Cards Against/For South Africa
"""______ Spice"" was one of the lesser-known Spice Girls.",Crabs Adjust Humidity: Volume 5
"""______: The Movie!"" Coming to theaters soon.","Crows Adopt Vulgarity, Vol. 1"
"""I want you for ______!""

-- Uncle Sam",Disgruntled Decks: Air Force Edition
"""Insert Name's"" aptitude tst shows he/she is either suited to be a Doctor or ______.",Personally Incorrect - Expansion [Red Box]
"""Insert Name's"" bar serves a world famous drink called ______ on the beach.",Personally Incorrect - Expansion 2 [Yellow Box]
"""Insert Name's"" best pick up line involves ______ and a hot dog.",Personally Incorrect
"""Insert Name's"" class trip was completely ruined by ______.",Personally Incorrect - Expansion [Red Box]
"""Insert Name's"" family moonshine recipe combines sugar with ______, to make it go down smooth.",Personally Incorrect - Expansion 2 [Yellow Box]
"""Insert Name's"" favourite board game is ______opoly.",Personally Incorrect
"""Insert Name's"" forecast for this weekend is a whole lot of ______.",Personally Incorrect
"""Insert Name's"" grandmother always included carrots, onions and ______ in her famous soup.",Personally Incorrect
"""Insert Name's"" mother doesn't approve of his/her new hobby because it involves collecting ______ and then setting them on fire.",Personally Incorrect
"""Insert Name's"" new reality show is called ""It's All About ______, A Look At My Life.""",Personally Incorrect
"""Insert Name's"" partner always had lame excuses not to try ______ in the sack.",Personally Incorrect - Expansion 2 [Yellow Box]
"""Insert Name's"" updated relationship status is ""Single and looking for ______.""",Personally Incorrect
"""Insert Name's"" wedding photographer was shocked that she has to take pictures of ______.",Personally Incorrect - Expansion 2 [Yellow Box]
"""Insert Name"" admitted he/she has a weakness for nail polish and ______.",Personally Incorrect - Expansion 2 [Yellow Box]
"""Insert Name"" always says his/her hopes there are a lot of ______ in Hell.",Personally Incorrect
"""Insert Name"" believes an apple a day keeps the ______ away.",Personally Incorrect
"""Insert Name"" believes that ______ guarantees fertility.",Personally Incorrect - Expansion 2 [Yellow Box]
"""Insert Name"" believes that on the 7th day the Lord said let there be ______.",Personally Incorrect - Expansion [Red Box]
"""Insert Name"" couldn't resist the sale at the mall and spent a small fortune on ______ in every colour.",Personally Incorrect
"""Insert Name"" doesn't think society should protect ______ from predators.",Personally Incorrect
"""Insert Name"" donated $1000 to his/her favourite charity that supports ______ in Africa.",Personally Incorrect
"""Insert Name"" ended their last relationship because their boyfriend/girlfriend kept pushing ______ on them.",Personally Incorrect
"""Insert Name"" enjoyed ______ so much that he/she can't wait to try it again.",Personally Incorrect
"""Insert Name"" expects there will be ______ in his/her bed when he/she gets home from game night.",Personally Incorrect - Expansion 2 [Yellow Box]
"""Insert Name"" farts smell worse than ______.",Personally Incorrect
"""Insert Name"" filled his/her swimming pool with ______ and took a dip.",Personally Incorrect
"""Insert Name"" forgot to delete his/her browsing history and was caught looking at ______.",Personally Incorrect
"""Insert Name"" got pulled over by the police today and was caught with a large assortment of ______ in the trunk.",Personally Incorrect
"""Insert Name"" has 24 hours left to live and wants to spend it doing lots of ______.",Personally Incorrect
"""Insert Name"" has a weakness for kittens, puppies and ______.",Personally Incorrect - Expansion [Red Box]
"""Insert Name"" has always found that ______ works better than sex enhancing drugs.",Personally Incorrect - Expansion 2 [Yellow Box]
"""Insert Name"" has been spending all his/her money at the local fetish bar that specializes in ______.",Personally Incorrect - Expansion 2 [Yellow Box]
"""Insert Name"" has invented a new sport that involves throwing ______ into a hole.",Personally Incorrect
"""Insert Name"" has to see a psychiatrist because his/her traumatizing run-in with _______.",Personally Incorrect
"""Insert Name"" hopes no one will find out about his/her fetish for ______.",Personally Incorrect
"""Insert Name"" hopes politicians legalize public ______.",Personally Incorrect
"""Insert Name"" is grossed out by touching ______.",Personally Incorrect
"""Insert Name"" is soooo embarrassed because he/she had sex with lots of ______ last night.",Personally Incorrect
"""Insert Name"" is starting a new diet tomorrow comprised solely of ______.",Personally Incorrect
"""Insert Name"" is still sticky from all the ______he/she enjoyed earlier.",Personally Incorrect
"""Insert Name"" is the captain of a ship that specializes in shipping containers of ______ from China.",Personally Incorrect
"""Insert Name"" just bought used ______ on eBay™.",Personally Incorrect
"""Insert Name"" just got a Nobel Peace Prize™ for his/her work with ______ in third world countries.",Personally Incorrect
"""Insert Name"" just told me about his/her latest conspiracy plot involving world domination and ______.",Personally Incorrect
"""Insert Name"" knocked his/her date out cold with a ______.",Personally Incorrect - Expansion 2 [Yellow Box]
"""Insert Name"" likes to count ______ to help him/her fall asleep at night.",Personally Incorrect
"""Insert Name"" lost his/her virginity with a whole bunch of ______ in the room.",Personally Incorrect
"""Insert Name"" loves to use ______ to get him/her off.",Personally Incorrect - Expansion [Red Box]
"""Insert Name"" loves to watch porn with large _____ in them.",Personally Incorrect
"""Insert Name"" needs an intervention. His/Her addiction to ______ is totally out of control.",Personally Incorrect
"""Insert Name"" Offered two homeless people lots of ______ in order for them to fight to the death.",Personally Incorrect - Expansion [Red Box]
"""Insert Name"" really wants a Christmas filled with ______ this year.",Personally Incorrect
"""Insert Name"" recently got kicked out of the mall for his/her involvement on the theft of ______.",Personally Incorrect
"""Insert Name"" saw ______ in the movies and thought he/she would give it a whirl, turns out he/she loves it.",Personally Incorrect - Expansion 2 [Yellow Box]
"""Insert Name"" says _____ are a must for all romantic occasions.",Personally Incorrect
"""Insert Name"" says ______ always get(s) him/her laid.",Personally Incorrect
"""Insert Name"" says ______ tastes like chicken.",Personally Incorrect - Expansion [Red Box]
"""Insert Name"" says a good workout always includes punching ______ at the gym.",Personally Incorrect
"""Insert Name"" says he/she always buys enough ______ to share with his/her family around the holidays.",Personally Incorrect
"""Insert Name"" says he/she watched a new reality TV series last night called ""America's Got ______"".",Personally Incorrect
"""Insert Name"" says if there were an Olympic sport for ______ he/she would win gold.",Personally Incorrect - Expansion [Red Box]
"""Insert Name"" says the true meaning of life can be found in ______.",Personally Incorrect
"""Insert Name"" says women are actually ______ when they go to the washroom together.",Personally Incorrect
"""Insert Name"" says, ""If I had a million dollars I'd buy ______"".",Personally Incorrect
"""Insert Name"" spent a hard day at the office working on a project for ______.",Personally Incorrect
"""Insert Name"" spent all day on the toilet and ended up shitting out ______.",Personally Incorrect
"""Insert Name"" spent all his/her money on ______ instead of supporting his/her family.",Personally Incorrect
"""Insert Name"" thinks ______ is better than sex with twins.",Personally Incorrect
"""Insert Name"" thought ______ was better than any internet cat videos.",Personally Incorrect - Expansion 2 [Yellow Box]
"""Insert Name"" thought getting abducted by Captain Hook would be scary, turns out they both enjoy ______.",Personally Incorrect - Expansion [Red Box]
"""Insert Name"" thought he/she was a ______ vampire.",Personally Incorrect - Expansion 2 [Yellow Box]
"""Insert Name"" thought you could prevent hair loss by avoiding ______ like the plague.",Personally Incorrect - Expansion 2 [Yellow Box]
"""Insert Name"" told me that they keep having wet dreams about ______.",Personally Incorrect
"""Insert Name"" traded ______ for a vial of pristine Gypsy tears.",Personally Incorrect - Expansion [Red Box]
"""Insert Name"" wakes up every morning saying he/she will never mix ______ and alcohol again.",Personally Incorrect
"""Insert Name"" wanted a pony but got ______ instead.",Personally Incorrect - Expansion [Red Box]
"""Insert Name"" was aspiring to become a doctor, but ended up as a ______ junkie.",Personally Incorrect - Expansion 2 [Yellow Box]
"""Insert Name"" was caught at the county fair with ______ and the prize winning bull.",Personally Incorrect - Expansion 2 [Yellow Box]
"""Insert Name"" was enjoying ______ with his/her intern when the office door opened and his/her boss came in.",Personally Incorrect - Expansion 2 [Yellow Box]
"""Insert Name"" was fired for an incident involving ______ at work.",Personally Incorrect
"""Insert Name"" was stopped at the border for bringing _____ back from Thailand last week.",Personally Incorrect
"""Insert Name"" was surprised to find that you are prohibited from doing ______ on a plane.",Personally Incorrect
"""Insert Name"" watched a Pay Per View documentary about ______ last night.",Personally Incorrect
