Response Cards,Set
A BOLO list identifying 45 white Toyota® pickup trucks.,Disgruntled Decks: Army Edition
"a bolt of nothing, shot at nothing",Bards Dispense Profanity
A bomb that will go off at any second.,"Crows Adopt Vulgarity, Vol. 4"
A bombshell,Rotten Apples: The Tasteless Adult Party Game
A bond stronger than the bromance between Seth Rogan and James Franco.,Cards and Punishment Vol. Two
A boner in tight pants.,Clones Attack Hilarity #1
A bong rip so massive it restores justice to the kingdom.,Weed Pack
A boo-boo.,CAH : Third Expansion
A boo-boo.,CAH: Red Box Expansion
A boomtown whore.,Carps & Angsty Manatee - Texas Edition
A bootpack filled with stupid ass boot stuff.,Disgruntled Decks: Marine Corps/Jarhead Edition
A booty call,Rotten Apples: The Tasteless Adult Party Game
A Bop It™.,CAH Base Set
A boring educational video game,The Game Without Decency
a boring fuck who should go away,Skewered And Roasted
a bosom friend,Dick
A botched boob job,Depravity
a botched Botox injection,Skewered And Roasted
A botched circumcision.,CAH : Third Expansion
A botched circumcision.,CAH: Red Box Expansion
A botched genital piercing.,Cads About Matrimony
A botched genital piercing.,Cads About Matrimony Poly Pack
A bottle of fine wine,KinderPerfect: A Timeout For Parents (Kickstarter Set)
A Bottle of Fine Wine,Personally Incorrect - Expansion [Red Box]
A bottle of Frank's® RedHot® Sauce emptied into the urethra.,Blurbs Against Buffalo
A bottle of orphan tears.,"Crows Adopt Vulgarity, Vol. 1"
A bottom feeder.,Cats Abiding Horribly: Episode III - The SJWs Strike Back
A bottomless pit of need,JadedAid: A Card Game to Save Humanitarians
A bowl cut,Cards Against Profanity
A bowl of candy.,WTF Did You Say?!?
A bowl of gourds.,CAH: Sixth Expansion
A bowl of mayonnaise and human teeth.,CAH Base Set
A bowl of primordial soup.,Cats Abiding Horribly: Episode I - The Dirty Goblin
A bowl of worm soup,Kids Create Absurdity
A box filled with horse shit.,Words Against Morality: Volume 2
A box full of razor blades and sleeping pills form your Secret Service.,Humanity Hates Trump: Base Set
"A box of biscuits, a box of mixed biscuits, and a biscuit mixer.",CAH: Box Expansion
A box of magic dice.,Hilarious!
"A box of nude pictures of your girlfriend, from your best friend.",Humanity Hates The Holidays
A box that is conscious and wishes it weren't a box.,CAH: Box Expansion
A box with magazines containing strong pornography.,"Crows Adopt Vulgarity, Vol. 3"
A box within a box.,CAH: Box Expansion
"A box without hinges, key, or lid, yet golden treasure inside is hid.",CAH: Box Expansion
A box-shaped man.,CAH: Box Expansion
A box.,CAH: Box Expansion
A boxing match with a giant box.,CAH: Box Expansion
A boy band member ten years past his prime,The Game Without Decency
A Boy Scouts' camping trip gone wrong,Cards Against Profanity
A boy.,Fun in the Oven
A Bradley Fighting Vehicle slowly crushing a donkey cart.,Disgruntled Decks: Army Edition
a braggart,Skewered And Roasted
A braille vajazzling.,Crabs Adjust Humidity: Volume 3
a brain aneurysm,Evil Apples
A brain tumor.,CAH Base Set
A brain tumor.,Cards Against/For South Africa
A brain tumor.,Hilarious!
A brain tumour.,CAH Base Set
A Brat.,Carbs of the Huge Manatee - Kink Expansion 1
A Brazilian Wax,Personally Incorrect
A break in service.,Disgruntled Decks: Air Force Edition
A breakfast sausage with serious emotional problems.,Crabs Adjust Humidity: Volume 2
A breast pump,The Game Without Decency
A breast pump.,Babies vs. Parents
A breast pump.,Fun in the Oven
A breath of fresh air,Cards Against Profanity
A broken condom,KinderPerfect (Commercial Set)
A broken condom,KinderPerfect: A Timeout For Parents (Kickstarter Set)
A broken condom.,Fun in the Oven
"A broken heart, an empty wallet, and a bouquet of chlamydia.",Voter's Choice: The Second Expansion
A broken hymen,Depravity
A broken hymen.,"Guards Against Insanity, Edition 3"
A broken Xbox®.,Not Parent Approved
a bromance,Skewered And Roasted
A bromance that took a gay turn.,Cows Against Hamburgers - Patty Pack #1
A bromance that took a gay turn.,Cows Grilling Hamburgers - Patty Pack #1
A bronze-tinted silver spoon.,Trumped UpCards: The World's Biggest Deck*
A brothel Madame,Depravity
A brother from another mother,Cards Against Profanity
A brother from another mother.,Clones Attack Hilarity #1
a brown noser,Skewered And Roasted
A brown stinking turd cutter.,Pigs Against Profanity: Volume 3
A bruised cucumber,The Game Without Decency
a bucket of 5-alarm ghost pepper hot wings,Evil Apples
A bucket of dicks.,Crabs Adjust Humidity: Volume 5
A bucket of dicks.,Crazy & Horrible Rabbit - Vol. 1
A bucket of fish heads.,CAH Base Set
A bucket of fishy tampons stuffed inside your rackmate's pillowcase.,Disgruntled Decks: Navy Edition
A bucket of ham.,Carps & Angsty Manatee - Volume 2
A bucket of hand sanitizer.,Babies vs. Parents
A bucket of prop wash.,Disgruntled Decks: Air Force Edition
a bucket of puke and sweat,Evil Apples
A bukaki party.,Cakes Athirst Hilarity Volume 3
A bulging camel toe,Depravity
A bulging merit badge,Cards Against Profanity
A bulging vein in your asshole.,"Guards Against Insanity, Edition 4"
A bulimic actress,The Game Without Decency
A bull dyke in a china shop.,Crabs Adjust Humidity: Volume 7
A bulldog eating mayonnaise.,Crabs Adjust Humidity: Volume 7
A bum's asshole.,Cakes Athirst Hilarity Volume 3
A bun in the oven,Rotten Apples: The Tasteless Adult Party Game
A bun in the oven.,Fun in the Oven
A bunch of fucking POGs acting like a bunch of fucking POGs.,Disgruntled Decks: Marine Corps/Jarhead Edition
A bunch of honking honkers.,Carps & Angsty Manatee - Volume 2
A bunch of idiots playing a card game instead of interacting like normal humans.,CAH: Blue Box Expansion
A bunch of idiots playing a card game instead of interacting like normal humans.,CAH: Fourth Expansion
A bunch of naked bridesmaids.,Cads About Matrimony Poly Pack
A bunch of naked bridesmaids.,Cads About Matrimony: Expansion 1
"A bunch of snot-nosed, know-it-all twentysomethings.",Crabs Adjust Humidity: Volume 3
A bunch of stupid pilots doing stupid pilot shit.,Disgruntled Decks: Navy Edition
A bunch of weeaboos buying Nature Valley bars.,PAX Prime 2014 Custom Printed Cards
A bunker fart that is way louder than expected.,Charlie Foxtrot
A burkini.,Crabs Adjust Humidity: Volume 7
A burly wookie's camel toe sweat stain.,Disgruntled Decks: Marine Corps/Jarhead Edition
A Burmese tiger pit.,CAH : Second Expansion
A Burmese tiger pit.,CAH: Red Box Expansion
A burning orphanage.,Cakes Athirst Hilarity Volume 2
A burning sensation in an awkward place,Rotten Apples: The Tasteless Adult Party Game
A burning sensation.,Crabs Adjust Humidity: Volume 4
A burrito that’s just sour cream.,CAH: Green Box Expansion
A bus that will explode if it goes under 50 miles per hour.,90s Nostalgia Pack
A bushel of pubes.,Cakes Athirst Hilarity Volume 1
A busload of racist frat boys from Oklahoma.,"Crows Adopt Vulgarity, Vol. 2"
A bust of some guy who might be Frederick T. Douglass.,Trumped UpCards: Alternative Facts Expansion Pack
A busty toddler.,Cards With No Sexuality
a butchering sort of business,Dick
a butt enlargement injection,Skewered And Roasted
A butt pirate,The Game Without Decency
a butt plug,Skewered And Roasted
A butt-cheek implant,The Game Without Decency
A butt-plug in the shape of a rolled-up copy of the U.S. Constitution.,Crabs Adjust Humidity: Volume 3
A butter face.,Clones Attack Hilarity #1
a butter-woman's mouth,Bards Dispense Profanity
A butterface.,Cats Abiding Horribly: Episode II - A New Low
a butterless man,Dick
a buttery nipple,Skewered And Roasted
A butthole full of mustard.,Cads About Matrimony
A butthole full of mustard.,Cads About Matrimony Poly Pack
A buttload of candy.,CAH: Blue Box Expansion
A buttload of candy.,CAH: Sixth Expansion
"A button that when you press it, there's jazz.",Absurd Box Expansion
A buttplug in the shape of Donald Trump.,Carps & Angsty Manatee - Volume 1
a buzzkill,Skewered And Roasted
a cackling maniac on a unicycle,Evil Apples
A cactus,Cards for the Masses
A cage fight with Nicolas Cage.,Crabs Adjust Humidity: Volume 3
A cage filled with hairless guinea pigs.,Not Parent Approved
A call from the police,KinderPerfect: Tween Expansion Pack
A camel spider wearing several pairs of tiny shoes.,Disgruntled Decks: Army Edition
A camel trying to fit through the eye of the needle.,The Catholic Card Game: Base Deck
A campaign intern., 2016 Election Game 
a can of reddi-whip,Skewered And Roasted
A can of whoop-ass.,CAH Base Set
"A Canadian dildo, made from an icicle.","Crows Adopt Vulgarity, Vol. 4"
A Canadian otter,Cards Against Profanity
A Canadian proctologist,The Game Without Decency
A Canadian tuxedo.,"Crows Adopt Vulgarity, Vol. 3"
A canteen-spitter combo.,Disgruntled Decks: Navy Edition
A Capital city built on a fault line…,Kiwis Against Morality
A capital city built on a faultline,Kiwis Versus Morality
A Captain John's Seafood Dinner,Cards About Toronto
A captain quoting Sun Tzu like a pretentious cocksucker.,Disgruntled Decks: Marine Corps/Jarhead Edition
A captain's welfare Beamer.,Disgruntled Decks: Marine Corps/Jarhead Edition
a car floor full of crushed Cheerios,KinderPerfect: A Timeout For Parents (Kickstarter Set)
A car seat covered in crushed Cheerios,KinderPerfect (Commercial Set)
A car seat.,Babies vs. Parents
A cardboard cutout of Pope St. John Paul II.,The Catholic Card Game: Five Deck Expansion Pack
A care bear riding a dildo shaped rocket over a rainbow.,WTF Did You Say?!?
"A care package filled with dog shit, Styrofoam® peanuts, and a divorce decree.",Disgruntled Decks: Navy Edition
a care-crazed mother of many children,Bards Dispense Profanity
A career ending blowjob.,Voter's Choice: The First Expansion
A career in contract compliance,JadedAid: A Card Game to Save Humanitarians
A career on the benefit,Kiwis Versus Morality
A career-ending blowjob.,Words Against Morality: Volume 2
A caress of the inner thigh.,CAH Base Set
A carnivorous plant that only eats Asians.,"Crows Adopt Vulgarity, Vol. 4"
A carpool full of kids with bad body odor.,Not Parent Approved
"A cartoon camel enjoying the smooth, refreshing taste of a cigarette.",CAH Base Set
A case of the collywobbles,"Clams Attempt Harmonica, Volume 1"
A case of the Mondays.,"Crows Adopt Vulgarity, Vol. 2"
a cast pulpy mass,Dick
A casual sprinkle of pee on the toilet seat.,Not Parent Approved
A cat named Magic beating feline AIDS.,The Worst Card Game: 2016 National Edition
A cat on a leash,Cards Against Profanity
A cat sweater knit from handspun cat hair.,Knitters Against Swatches First Edition
a cat video addiction,Skewered And Roasted
A cat video so cute that your eyes roll back and your spine slides out of your anus.,CAH : Third Expansion
A cat video so cute that your eyes roll back and your spine slides out of your anus.,CAH Base Set
A cat video so cute that your eyes roll back and your spine slides out of your anus.,CAH: Red Box Expansion
A cat with… hands.,Absurd Box Expansion
A Category 5 assnado.,Crabs Adjust Humidity: Volume 4
A Catholic Priest,Personally Incorrect
A Catholic priest.,Carps & Angsty Manatee - Volume 1
A catholic schoolgirl uniform.,Carbs of the Huge Manatee - Kink Expansion 1
A cattle prod to the cooter.,Carps & Angsty Manatee - Texas Edition
A cavity,Rotten Apples: The Tasteless Adult Party Game
A cease-and-desist letter from Trump's lawyers.,Trumped UpCards: The World's Biggest Deck*
A Celebrity Deathmatch between Jeff Sachs and Bill Easterly,JadedAid: A Card Game to Save Humanitarians
A celebrity sex tape,Rotten Apples: The Tasteless Adult Party Game
"A cement truck filled with 20,000 lbs. of HME.",Disgruntled Decks: Army Edition
A cemetrery for only gay pets.,Cocks Abreast Hostility: Cock Pack One: Just The Tip
A center for ants!?,Cards and Punishment Vol. Two
a centipede that crawls into your ear and eats your brain,Evil Apples
a certain convocation of politic worms,Bards Dispense Profanity
a certain nameless terror,Dick
a certain unsignifying pettiness,Dick
A CGI dragon.,Fantasy Pack
A chair that likes to rape people.,Crabs Adjust Humidity: Volume 2
A chair-shaped fart sponge.,Desert Bus For Hope Pack
A changing table at a gas station.,Fun in the Oven
a charismatic cult leader,Evil Apples
A chastity belt,The Game Without Decency
A chatty cloistered nun.,The Catholic Card Game: Base Deck
A cheap ass Tooth Fairy,KinderPerfect (Commercial Set)
A cheap ass Tooth Fairy,KinderPerfect: A Timeout For Parents (Kickstarter Set)
A Cheap Motel,Personally Incorrect
A cheeky coloured woman.,Hilarious!
A cheeky root at Shag Point,Kiwis Versus Morality
A cheerfulness that belies a deep-seated self-loathing.,CAH: Green Box Expansion
A cheese grater,Cards for the Masses
A Chelsea Manning tuck job.,Disgruntled Decks: Army Edition
A Chelsea smile.,CAH: UK Conversion Kit
A Chelsea smile. ,CAH Base Set
A cherry-wood spanking bench.,Carbs of the Huge Manatee - Kink Expansion 1
A Chia Pet,Cards Against Profanity
A chick way into mixed martial arts,The Game Without Decency
A chick whose carpet doesn't match the drapes.,Words Against Morality: Volume 2
A chicken nugget eating contest.,Not Parent Approved Expansion Pack #1
A child prodigy,Cards Against Profanity
A child's laughter,Cards Against Profanity
A child's love of sticks.,Reject Pack 3
A child's unwashed hands,JadedAid: A Card Game to Save Humanitarians
A childless marriage.,House of Cards Pack
A Chilifest fart.,Carps & Angsty Manatee - Texas Edition
A chilled box of DoBros,Kiwis Against Morality
A chilled box of DoBros,Kiwis Versus Morality
A Chilly bin full of coldies,Kiwis Against Morality
A chimpanzee in sunglasses fucking your wife.,CAH: Blue Box Expansion
A chimpanzee in sunglasses fucking your wife.,CAH: Fifth Expansion
A Chinese cyber attack on Pornhub that cripples morale across the force.,Disgruntled Decks: Marine Corps/Jarhead Edition
A Chinese tourist who wants something very badly but cannot communicate it.,CAH Base Set
A chiropractor that flunked out of med school,The Game Without Decency
A Chloroform Soaked Rag,Personally Incorrect
A chloroform-soaked rag,The Game Without Decency
A chocolate Fish,Kiwis Against Morality
A chocolate fish,Kiwis Versus Morality
A choir of angels descending from the sky and jizzing all over dad's sweater.,Seasons Greetings Pack
A chokeslam/NJP combo for telling your drill instructor to fuck his mother.,Disgruntled Decks: Marine Corps/Jarhead Edition
A choking hazard.,Fun in the Oven
A Christian fish tattoo.,The Catholic Card Game: Base Deck
A Christian Science scientist.,Cats Abiding Horribly: Episode II - A New Low
a Christmas comedy,Bards Dispense Profanity
A Christmas Day bathhouse visit,Cards About Toronto
A Christmas feast of goose and jellies.,Absurd Box Expansion
A Christmas stocking full of coleslaw.,2012 Holiday Pack
A chronic colonic.,Crabs Adjust Humidity: Volume 6
